Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"Platforms play an essential role in the modern economy. At the same time, due to advances in artificial intelligence (AI), algorithms are becoming more widely used for pricing and other business functions. Previous literature examined algorithmic pricing, but not in the context of network effects and platforms. Moreover, platform competition literature has not considered how algorithms may affect competition. We study the performance of AI pricing algorithms (Q-learning and Particle Swarm Optimization) and naïve algorithms (price-matching) under platform competition. We find that algorithms set an optimal price structure that internalizes network effects. However, no algorithm is always the best because profitability depends on the type of competing algorithms and market characteristics, such as differentiation and network effects. Additionally, algorithms learn autonomously when an equilibrium is unstable and avoid it. When algorithm adoption is an endogenous strategic decision, several algorithms can be adopted in equilibrium; we characterize the conditions for the various outcomes and show that the equilibrium and platform profits are sensitive to algorithm design changes. Overall, our research suggests that AI algorithms can be effective in the presence of network effects, and platforms are likely to adopt a variety of algorithms. Lastly, we reflect on the business value of AI and identify opportunities for future research at the intersection of AI algorithms and platforms. © The Author(s) 2024.",18,10.1007/s10660-024-09821-w,"This study examines the impact of AI pricing algorithms in platform competition, focusing on how these algorithms interact with network effects. It compares the performance of AI algorithms with naïve algorithms and analyzes their profitability under different market conditions. The paper emphasizes the strategic role of AI in pricing decisions within platforms. Class: A",A,1691,60,stop,fp_0ba0d124f1
"Recently, several macro trends have converged to provide airlines new opportunities for one-to-one digital customer engagement and personalization. Airlines have more types and volumes of data available than ever before: shopping-behavior data, data providing context on booking decisions, social media data enriching the information available on travel trends, and more. All of these can play a critical role in defining the right offers and setting the right prices for each shopping request. A plethora of advanced AI and ML techniques have become available on open-source platforms, letting players generate actionable customer insights and leverage vast amounts of existing data. New distribution technology is being deployed to allow airlines to implement real-time retailing capabilities. Consumers have been trained by the likes of Amazon, Netflix, Alibaba, and Starbucks to expect products and services tailored to their individual needs along with superior and engaging content. This paper presents different approaches to price-product personalization that have been tested in airline cases globally. It also explores how the concept of experiential learning is nicely suited to tackling scenarios in which the purchaser is well-identified as well as cases in which not much is known about the visitor except the context of the shopping session. © 2023, The Author(s).",18,10.1057/s41272-022-00404-8,"This paper explores the use of AI and machine learning techniques in the airline industry for personalized pricing and product offers based on extensive customer data. It discusses various approaches tested globally and emphasizes the importance of real-time retailing capabilities. The focus is on how AI can enhance customer engagement and pricing strategies, classifying it under the impact of AI. Class: A",A,1668,70,stop,fp_0ba0d124f1
"A booming literature describes how artificial intelligence algorithms may autonomously learn to generate supra-competitive profits. The widespread interpretation of this phenomenon as “collusion” is based largely on the observation that one agent's unilateral price cuts are followed by several periods of low prices and profits for both agents, which is construed as the signature of a reward–punishment scheme. We observe that price hikes are also followed by aggressive price wars. Algorithms may also converge to outcomes that are worse than Nash and penalize deviations from it. While admissible in equilibrium, this behavior throws interesting light on the relationship between high algorithmic prices and the standard mechanisms behind (human) collusion. © 2024 The Authors",18,10.1016/j.econlet.2024.111661,"This paper explores the behavior of AI algorithms in a competitive market, particularly how they can lead to supra-competitive profits and exhibit patterns resembling collusion. It analyzes the dynamics of price changes and their consequences, contributing to the understanding of algorithmic behavior in economic contexts. The focus on the implications of AI in market behavior classifies it under category A. Class: A",A,1569,73,stop,fp_0ba0d124f1
"With the digitalization of the financial market, dealers are increasingly handling market-making activities by algorithms. Recent antitrust literature raises concerns on collusion caused by artificial intelligence. This paper studies the possibility of cooperation between market makers via independent Q-learning. with inventory risk is formulated as a repeated general-sum game. Under a stag-hunt type payoff, we find that market makers can learn cooperative strategies without communication. In general, high spreads can have the largest probability even when the lowest spread is the unique Nash equilibrium. Moreover, introducing more agents into the game does not necessarily eliminate the presence of supra-competitive spreads. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",18,10.1080/14697688.2022.2097943,"This paper explores the potential for cooperation among market makers using independent Q-learning in a digital financial market context. It formulates the interaction as a repeated general-sum game and analyzes the implications for pricing strategies and collusion risks. The focus is on the behavior of algorithms in market-making, which aligns with the impact of AI on market outcomes. Class: A",A,1569,71,stop,fp_0ba0d124f1
"We present a Personalization AI system meant for the CEO and the C-Suite to guide a Personalization program at airlines to increase profits. This system will help the C-Suite focus the organization on emerging risks and opportunities around customer Personalization while driving sound Revenue Management principles. Today the C-Suite gets their information through presentations, excel spreadsheets and dashboards. We present an AI-based decision support system for the C-Suite. The AI system is grounded and wired into the Big Data/transactions of the company and models the real-time state of the organization. © 2022, The Author(s), under exclusive licence to Springer Nature Limited.",18,10.1057/s41272-022-00402-w,This paper introduces an AI-based decision support system designed for airline executives to enhance customer personalization and revenue management. It focuses on how AI can assist C-Suite executives in making informed decisions based on real-time data. The emphasis is on using AI as a tool for decision-making rather than analyzing AI's impact. Class: B,B,1559,64,stop,fp_0ba0d124f1
"The imperfect decision-making of human buyers participating in retail markets varies from fundamental models that assume rational economic choices: even in markets with identical items human buyers are not rational, i.e., buyers do not always choose the cheapest option. Recent developments in artificial intelligence and e-commerce enable market participation by software agents that are (almost) perfectly rational due to their computational capacity. However, the increasing degree of buyers’ rationality might have unfavorable effects on retail markets with regards to the competition between sellers and the resulting prices. In this paper, we study the effects of varying degrees of buyers’ rationality on the competition and the prices buyers face in retail markets with identical items. We use the multinomial logit function to model different degrees of buyers’ rationality. We further model the competition between sellers using k-level reasoning: each seller computes the price to offer (best response strategy) with regards to its belief for the competition. First, we derive an analytical best response strategy (price) of a seller given the competing prices and the degree of buyers’ rationality, and show that there exists an optimal degree of buyers’ rationality that minimizes the price. Last, we use evolutionary game theory to show that perfect rationality leads to unstable competition dynamics increasing the overall cost for buyers. In contrast, bounded rationality leads to smoother dynamics and lower cost for buyers. Our insights raise the need to revisit design objectives for software agents in retail markets in light of their wider systematic impact. © 2019, The Author(s).",18,10.1007/s10614-019-09955-2,"This paper examines the impact of varying degrees of buyers' rationality on competition and pricing in retail markets, contrasting human decision-making with that of rational software agents. It employs multinomial logit functions and evolutionary game theory to analyze these dynamics. The focus on the implications of AI and rationality in market behavior qualifies it for category A. Class: A",A,1733,70,stop,fp_0ba0d124f1
"The behavior of artificial intelligence (AI) algorithms is shaped by how they learn about their environment. We compare the prices generated by AIs that use different learning protocols when there is market interaction. Asynchronous learning occurs when the AI only learns about the return from the action it took. Synchronous learning occurs when the AI conducts counterfactuals to learn about the returns it would have earned had it taken an alternative action. The two lead to markedly different market prices. When future profits are not given positive weight by the AI, (perfect) synchronous updating leads to competitive pricing, while asynchronous can lead to pricing close to monopoly levels. We investigate how this result varies when either counterfactuals can only be calculated imperfectly and/or when the AI places a weight on future profits. Lastly, we investigate performance differences between offline and online play. © 2023 Wiley Periodicals LLC.",18,10.1111/jems.12516,"This paper compares the pricing outcomes of AI algorithms using different learning protocols (asynchronous vs. synchronous) in market interactions. It examines how these learning methods affect competitive behavior and pricing strategies, considering factors like counterfactuals and future profit weighting. The focus on AI's learning mechanisms and their market implications classifies it under category A. Class: A",A,1608,70,stop,fp_0ba0d124f1
"The aim of this paper is to investigate how different degrees of sophistication in agents’ behavioral rules may affect individual and macroeconomic performances. In particular, we analyze the effects of introducing into an agent-based macro model firms that are able to formulate effective sales forecasts by using simple machine learning algorithms. These techniques are able to provide predictions that are unbiased and present a certain degree of accuracy, especially in the case of a genetic algorithm. We observe that machine learning allows firms to increase profits, though this result in a declining wage share and a smaller long-run growth rate. Moreover, the predictive methods are able to formulate expectations that remain unbiased when shocks are not massive, thus providing firms with forecasting capabilities that to a certain extent may be consistent with the Lucas Critique. © 2022 Elsevier B.V.",18,10.1016/j.jedc.2022.104405,"This paper investigates the impact of machine learning algorithms on firms' sales forecasting within an agent-based macroeconomic model. It analyzes how these algorithms affect individual firm performance and broader economic outcomes, such as profits and wage shares. The focus on the economic implications of AI in forecasting aligns it with category A. Class: A",A,1590,62,stop,fp_0ba0d124f1
"Providing liquidity in over-the-counter markets is a challenging under-taking, in large part because a market maker does not observe where their competitors quote, nor do they typically know how many rivals they compete with or what the trader's overall liquidity demand is. Optimal pricing strategies can be derived in theory assuming full knowledge of the competitive environment, but these results do not translate into practice where information is incomplete and asymmetric. This paper studies whether artificial intelligence, in the form of multi-armed bandit reinforcement learning algorithms, can be used by liquidity providers to dynamically set spreads using only information that is commonly available to them. We also investigate whether collusive effects can arise when competing liquidity providers all employ such algorithms. Our findings are as follows. In a single-agent setup where only one liquidity provider is optimising pricing in an otherwise static environment, all the algorithms considered are able to locate the theoretically optimal pricing policy, albeit they do so quite inefficiently when compared to a model-based approach. In a multi-agent setting where competing liquidity providers simultaneously and independently use algorithms to optimise pricing, we demonstrate that for one class of algorithms (pseudo) collusion cannot arise, while for another it can arise in certain circumstances and we provide examples where it does. The scenarios where collusive effects appear, however, are fragile, sensitive to the specific configuration and exceedingly unlikely to occur in practice. Moreover, with a modest number of competitors, collusive effects that might otherwise arise in some of the most contrived scenarios are largely or entirely eliminated. © 2022 Informa UK Limited, trading as Taylor & Francis Group.",18,10.1080/14697688.2022.2130087,"This paper explores the use of multi-armed bandit reinforcement learning algorithms by liquidity providers in over-the-counter markets to optimize pricing strategies under conditions of incomplete information. It examines both single-agent and multi-agent scenarios, analyzing the potential for collusion among competing liquidity providers using these algorithms. The focus on AI's application in pricing strategies and market dynamics classifies it as category B. Class: B",B,1747,78,stop,fp_0ba0d124f1
"The traditional legal approach for distinguishing between illicit collusion and legitimate oligopoly conduct is to rely on criteria that relate to the means and form of how rivals interact, such as elements of ""practical cooperation"", or on the finding of an anticompetitive intent. These criteria ultimately refer to the inner sphere of natural persons and its emanations in communicative acts. Some authors therefore conclude that the cartel prohibition of Article 101 Treaty on the Functioning of the European Union (TFEU) or Section 1 of the U.S. Sherman Act is unable to capture collusion if it is achieved by autonomously acting computers relying on machine learning capabilities. It is instead suggested here to define collusion as parallel informational signals, which achieve a supracompetitive equilibrium, and to use the consumer welfare standard as a proxy for distinguishing between illicit collusion and legitimate oligopoly conduct. This approach is not tantamount to the idea of prohibiting tacit collusion as such. Rather, it is to check singular elements of communication, that is, ""informational signals"", within an existing oligopolistic setting for their propensity to create consumer harm. This approach can help to close potential regulatory gaps currently associated with the surge of algorithmic pricing. © 2019 The Author(s). Published by Oxford University Press. All rights reserved.",18,10.1093/joclec/nhz011,"This paper critiques traditional legal frameworks for distinguishing between collusion and legitimate oligopoly behavior, particularly in the context of machine learning algorithms. It proposes a new definition of collusion based on informational signals and suggests using the consumer welfare standard to assess potential harm. The focus is on the legal implications of AI in antitrust law. Class: A",A,1697,67,stop,fp_0ba0d124f1
