Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"We investigate whether improvements in banks' organizational capital and control systems facilitate increased loan origination to minority borrowers. We focus on bank supervisors' enforcement decisions and orders (EDOs) against banks and hypothesize that EDO-imposed improvements in loan policies, internal governance, and employee training mitigate deficiencies in credit assessments and lending decisions that previously disadvantaged minority borrowers. We find that mortgage origination to minority borrowers increases following the resolution of EDOs, and more so for banks with stricter supervisors or more severe EDOs. Using a semisupervised machine learning method to analyze the text of EDOs, we find that such increases are higher for EDOs specifying revisions of loan policies, implementation of formal internal governance procedures, or more employee training. Overall, we find that EDO-driven improvements in organizational capital generate unintended, positive social externalities that enhance access to credit for minority borrowers. © 2024 The Chookaszian Accounting Research Center at the University of Chicago Booth School of Business.",11,10.1111/1475-679X.12529,"This paper investigates the impact of banks' organizational capital improvements on loan origination to minority borrowers, particularly following enforcement decisions by supervisors. It employs a semi-supervised machine learning method to analyze text from enforcement orders. The focus is on the social impact of these improvements rather than the AI methods themselves, which qualifies it for category A. Class: A",A,1693,69,stop,fp_0ba0d124f1
"Nowadays, the dynamism caused by constant changes to strategic decisions in markets poses an additional difficulty in an organization’s management. The strategic decisions made by managers can easily become obsolete. One of the major difficulties in managing a commercial organization is predicting, with some precision, the impact some strategic decisions have on the financial results. Business intelligence (BI) is widely used to help managers make strategic decisions. However, the methods used to achieve the conclusions are kept secret by BI company-based services. Modeling the environment may help predict the impact of an action in a real environment. A good model should provide the most accurate result of an applied action in a given environment. Artificial neural networks (ANNs) are proven to be excellent in modeling environments with very high data noise. The same strategic action can have different results when applied to different organizations. A tool that allows the evaluation of an applied strategic action in an environment will be of great importance in the field of management. Modeling the environment will save time and money for the organization, allowing the performance of the strategic plan to be improved. If one evaluates the state of the environment after a certain strategic action is applied, it can be possible to mitigate its risk of failure. As we will verify, it is possible to use ANNs to model strategic environments, allowing precision in the prediction of sales and operating results using particular strategies. © 2024 by the authors.",11,10.3390/jrfm17040164,"This paper explores the use of artificial neural networks (ANNs) for modeling strategic environments to predict the impact of managerial decisions on financial outcomes. It emphasizes the importance of accurate modeling in mitigating risks associated with strategic actions. The focus is on how AI can enhance decision-making in management, which qualifies it for category A. Class: A",A,1771,66,stop,fp_0ba0d124f1
"This article addresses the evolving dynamics of sustainability risks in the banking sector, with a particular focus on the integration of artificial intelligence (AI) in risk assessment and management. The impact of environmental, social, and governance (ESG) factors on creditworthiness evaluation is examined and highlights the complexities and challenges that financial institutions face in adapting their risk management frameworks to accommodate these sustainability risks. The paper underscores the difficulties banks face in effectively incorporating ESG considerations, primarily due to the absence of standardized methodologies and the intricate interplay between ESG components and banking risk elements. In this context, the potential of AI applications is critically assessed, especially those utilizing large datasets, to identify complex patterns and correlations that often elude human analysts. This investigation includes both the opportunities AI presents in enhancing the precision of risk assessments and the associated challenges, including issues related to the opacity and control of complex, self-learning AI models, as well as regulatory and privacy concerns. Finally, the article presents a schematic approach through which banks can actively integrate sustainability risks into their risk management strategies, emphasizing the need for ongoing research and development in this crucial area. Copyright © 2024 by SCITEPRESS - Science and Technology Publications, Lda.",11,10.5220/0012498700003717,"This article examines the integration of AI in assessing sustainability risks within the banking sector, focusing on ESG factors and their impact on creditworthiness. It discusses both the opportunities and challenges of using AI for risk management, including regulatory concerns and the complexity of AI models. The paper emphasizes the need for ongoing research in this area, making it relevant to the impact of AI on banking practices. Class: A.",A,1729,79,stop,fp_0ba0d124f1
"In this study, we investigate the impact of introducing enterprise relationship to train machine learning (ML) algorithms on improving its ability of forecasting small and medium-sized enterprises’ (SMEs) credit risk in supply chain finance (SCF). First, we incorporate attributes of SME node in the CEs-SMEs network, a bipartite network constructed with transaction data in the Chinese automobile industry, into financial indicators to train ML algorithms for improving forecasting performance. Second, we employ the weighted one-mode projection approach to extract a projected-SMEs network that reveals the relationship among SMEs from the CEs-SMEs network and examine whether the ML algorithms’ forecasting performances is improved when considering attributes in the projected-SMEs network. Third, we analyze the correlation between SME’s credit risk and individual network attribute to specifically understand the impact of enterprise relationship on credit risk. Overall, the empirical results indicate that the forecasting performance is obviously better when enterprise transaction relationship is considered, and it is further enhanced after we apply weighted one-mode projection approach. Meanwhile, the variable importance analysis and the binomial logistic regression demonstrate how significantly each network attribute is correlated with credit risk, and the discussion on partial dependence plot shows that SMEs with large degree are non-risky generally. © 2024 Taylor & Francis Group, LLC.",11,10.1080/1540496X.2024.2324195,"This study investigates how incorporating enterprise relationships into machine learning algorithms enhances the forecasting of credit risk for SMEs in supply chain finance. It utilizes a bipartite network based on transaction data and employs various analytical methods to assess the impact of these relationships on credit risk. The focus is on measuring the effectiveness of AI in improving credit risk assessment, which qualifies it for category A. Class: A",A,1751,76,stop,fp_0ba0d124f1
"Historical data of the box office of Russian cinema is the object of research. The purpose of the study is to determine the possibility of forecasting the cash fees of the film project at an early stage in the production of films, which is especially important due to withdrawal of foreign distributors from the Russian market. The analysis was carried out on data for the entire population (N = 1400) of Russian national films that were released from the beginning of 2004 to April 2022. These data are introduced into scientific circulation for the first time. The study used methods of evaluation of film projects based on historical profitability and classification of films by genres, directors, screenwriters. The result of the experiment on 7 machine learning and neural network models achieved an accuracy of 0.96 and ROC (AUC) = 0.98. The article provides conclusions about the directions for improving forecasting methods and conclusions about the limitations of the proposed approach. Taking into account the high volatility of the individual financial result of a film project, recommendations were made by the “portfolio” principle of investment, which opens the prospects of debt and equity financing of cinema using market financial instruments, issuance of bonds and shares by producers and distributors. © Dozhdikov А.V., 2024.",11,10.26794/2587-5671-2024-28-1-188-203,"This paper focuses on forecasting box office revenues for Russian films using historical data and machine learning models. It analyzes the financial implications of these forecasts for investment strategies in the film industry. The study employs AI methods to assess the impact of various factors on film profitability, making it relevant to the impact of AI. Class: A.",A,1747,64,stop,fp_0ba0d124f1
"Emerging economies, while exhibiting higher growth rates compared to developed countries, are susceptible to external shocks, leading to financial fragility. Traditional analysis methods often fall short in accuracy and timeliness. This research introduces a novel approach utilizing Back-Propagation Neural Network (BPNN) to predict financial fragility in emerging markets, focusing on the BRICS countries. By considering twelve impactful factors and employing Principal Component Analysis (PCA), five key influencers are identified. The BPNN model is iteratively optimized to achieve superior quality. Historical data validation attests to the model’s effectiveness. The study identifies five critical factors influencing financial fragility: GDP growth rate, inflation rate, monetary policy, interest rates, and bank’s capital-asset ratio. Among these, GDP growth rate emerges as a significant determinant. Positive growth is correlated with financial stability, while a slowdown or negative growth signals elevated risks. Emerging markets are particularly vulnerable to global economic fluctuations due to their reliance on exports and foreign capital. Additionally, weaker financial systems amplify their susceptibility to shocks.The research underscores the importance of building robust financial sectors, replenishing funding buffers, and proactively managing distressed assets in emerging market economies. The proposed BPNN model provides a powerful tool for risk prediction, though it requires strong indicator data support. While computational intensity and interpretability remain challenges, the benefits of BPNNs outweigh these limitations. Effective communication and information exchange across countries and markets are crucial for maintaining stability in emerging market finance. This study contributes valuable insights into the prediction of financial fragility in emerging markets, offering a comprehensive framework for policymakers and financial practitioners to navigate the challenges and opportunities presented by these dynamic economies. © 2024, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.",11,10.1007/s13132-023-01731-w,"This paper focuses on predicting financial fragility in emerging economies using a Back-Propagation Neural Network (BPNN) model. It identifies key factors influencing financial stability and emphasizes the model's effectiveness in risk prediction. The methodology involves historical data validation and Principal Component Analysis (PCA) to optimize the model. Since it analyzes the impact of AI (BPNN) on financial outcomes, it qualifies for category A. Class: A",A,1848,86,stop,fp_0ba0d124f1
"Banks are relying on machine learning techniques to support their decisions in financing small and medium enterprises (SMEs). As regulators require that credit decisions are transparent, there is a need to develop methods to measure fairness. We propose a weighted average of the Cohort Shapley value, which removes impossible feature combinations, and a relative fairness score for assessing the fairness level within sub-populations. Based on our knowledge, this is the first paper that investigates the fairness of UK financial institutions in providing funding to SMEs. Our findings reveal discrimination against start-up, micro, women-led companies, and owners of Asian ethnic backgrounds. © 2023 Elsevier Inc.",11,10.1016/j.frl.2023.104542,"This paper investigates the fairness of machine learning techniques used by banks in financing small and medium enterprises (SMEs) in the UK. It proposes a new method for measuring fairness in credit decisions and identifies discrimination against specific sub-populations. The focus is on analyzing the impact of AI on fairness in lending practices, which qualifies it for category A. Class: A",A,1621,71,stop,fp_0ba0d124f1
"Purpose: The unemployment rate (UR) is the leading macroeconomic indicator used in the credit card loss forecasting. COVID-19 pandemic has caused an unprecedented level of volatility in the labor market variables, leading to new challenges to use UR in the credit risk modeling framework. This paper examines the dynamic relationship between the credit card charge-off rate and the unemployment rate over time. Design/methodology/approach: This study uses quarterly observations of charge-off rates on credit card loans of all commercial banks from Q1 1990 to Q4 2020. Univariate, multivariable, machine learning, and regime-switching time series modeling are employed in this research. Findings: The authors decompose UR into two components – temporary and permanent UR. The authors find the spike in UR during COVID-19 is mainly attributed to the surge in temporary layoffs. More importantly, the authors find that the credit card charge-off rate is primarily driven by permanent UR while temporary UR has little predictive power. During recessions, permanent UR seems to be a stronger indicator than total UR. This research highlights the importance of using permanent UR for credit risk modeling. Originality/value: The findings in the research can be applied to the credit card loss forecasting and CECL reserve models. In addition, this research also has implications for banks, macroeconomic data vendors, regulators, and policymakers. © 2022, Emerald Publishing Limited.",11,10.1108/MF-02-2022-0085,"This paper investigates the relationship between the unemployment rate (UR) and credit card charge-off rates, particularly in the context of the COVID-19 pandemic. It employs various modeling techniques, including machine learning, to analyze how different components of UR affect credit risk. The focus is on understanding the impact of UR on credit card loss forecasting, which qualifies it for category A. Class: A",A,1774,76,stop,fp_0ba0d124f1
"Purpose: The theories of dividend decision have disentangled the firms’ critical drivers of the dividend announcement, and their performances are empirically evaluated by employing ordinary least squares (OLS). However, after more than half a century of research, the debate over the determinants of dividend policy in firms is inconclusive. Therefore, the current study attempted to contribute to the literature by exploring new insights into the dividend decisions of Indian firms by employing machine learning. Methodology: This study is based on secondary data, and empirical analysis has used a novel dataset of 919 listed Indian nonfinancial firms from 1999-2019. The study utilized the least absolute shrinkage and selection operator and logistic regression methodologies. Findings: The findings revealed that the idiosyncratic variables are critically significant for dividend announcements by Indian firms. The results demonstrated that large, profitable, liquid, and firms with high market share were more likely to announce dividends in India than small, loss-making, illiquid, and low-market share firms. The direct relationship between Tobin’s Q and the likelihood of paying dividends is a new insight into the dividend decision for Indian firms. Practical Implications: The results will guide the dividend seeker investors to hold the shares of a high market share firm to receive the expected dividend. Originality/Value: This current study extended the literature by studying the dividend decisions of Indian firms by employing the machine learning methodology. © 2023, Associated Management Consultants Pvt. Ltd.. All rights reserved.",11,10.17010/ijf/2023/v17i5/171154,"This paper explores the determinants of dividend decisions in Indian firms using machine learning methodologies. It analyzes a dataset of 919 listed non-financial firms to identify significant variables influencing dividend announcements. The study contributes new insights into the relationship between firm characteristics and dividend policies, focusing on empirical analysis rather than the impact of AI itself. Class: B.",B,1788,67,stop,fp_0ba0d124f1
"Financial management plays a crucial role in maintaining the financial stability and optimal ownership structure of organizations, while also ensuring their profitability. The primary objective of this article is to assess the significance of financial management in contributing to the stability and profitability of organizations. To investigate the role and significance of financial management in ensuring the stability and profitability of organizations, this article analyzes the financial policies and management practices employed by prominent agricultural enterprises in Ukraine. The authors assess the financial stability and profitability indicators achieved through effective management of financial resources and decision-making by enterprise management. The study investigates the outcomes of consistent financial management strategies, policies, and tactics employed by agricultural enterprises during a period of heightened uncertainty and volatility in both domestic and international markets in 2022. These companies continued to prioritize sustainable development strategies, wherein the economic aspect aimed not only at ensuring sustainability and profitability but also at funding social and environmental initiatives. Financial management within the context of market volatility encompassed the following aspects: 1) conducting scenario analysis of the external environment and quantifying potential losses; 2) analyzing and assessing key financial risks such as currency, credit, and investment risks; 3) adapting financial management strategies to changes in macroeconomic factors; and 4) considering the environmental and social components as well as the costs associated with implementing relevant programs in financial practices. The surveyed companies exhibited variations in their dividend policies, with one company adopting a cautious dividend approach, while another experienced an increase in dividend payouts in 2022. Furthermore, these companies prioritized investment policies that emphasized innovation and technological advancements. Financial strategies implemented by agricultural enterprises encompassed growth, expansion, and international diversification. This article unveils the utilization of artificial intelligence (AI) technologies and machine learning algorithms by these companies to enable real-time analysis and control of financial resources, as well as to forecast and facilitate decision-making processes. Common concerns among agricultural companies revolved around effectively managing and maintaining adequate levels of absolute liquidity. The amount of working capital and its optimal value emerged as critical factors in ensuring long-term sustainability. © 2023 Better Advances Press. All rights reserved.",11,10.55365/1923.x2023.21.164,"This paper assesses the role of financial management in ensuring stability and profitability for agricultural enterprises in Ukraine, particularly during market volatility. It analyzes financial policies and practices, including the use of AI and machine learning for real-time financial analysis and decision-making. The focus on AI's application in financial management indicates an exploration of its impact on organizational outcomes. Thus, it qualifies for category A. Class: A",A,1906,78,stop,fp_0ba0d124f1
