Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"Cruising ride-hailing vehicles exacerbate traffic congestion by generating negative externalities. In contrast, reserved ride-hailing services leverage precise information regarding the departure times and origins-destinations of future trips. Platforms can use this data to dispatch and route drivers more efficiently, thereby reducing the need for cruising. Although previous research has largely concentrated on real-time ride-hailing services, the impact of the built environment on reserved ride-hailing remains unexplored with empirical data. This study integrates multi-source data from Haikou City in China and utilizes the gradient boosting decision tree model, which is an interpretable machine learning approach, to investigate potential relationships between reserved ride-hailing trip demand and the built environment. The rankings of relative importance reveal that factors such as the density of food services, education institutions, accessibility to town centers, and proximity to transportation hubs significantly influence the demand for reserved ride-hailing. Furthermore, the study demonstrates that the aforementioned factors exhibit non-linear effects on the demand for reserved ride-hailing. The findings have policy implications for local governments aiming to promote reserved ride-hailing and enhance urban mobility services. © 2024 Elsevier Ltd",20,10.1016/j.rtbm.2024.101173,"This study employs a gradient boosting decision tree model to analyze the relationship between the built environment and the demand for reserved ride-hailing services in Haikou City, China. It focuses on using machine learning to understand demand factors rather than assessing the impact of AI itself, placing it in category B. Class: B",B,1841,62,stop,fp_0705bf87c0
"The increasing popularity of digital twins, alongside the rapid evolution of connectivity driven by the Internet of Things, highlights their potential to greatly aid in the development of smart cities. Digital twins are employed more commonly as smart cities grow and societies become more interconnected. With the growing need for this technology, there is a pressing demand for the automatic captioning of security events from the videos collected from these models. This is needed as Dtwin models generate a lot of data that makes it difficult to caption them manually. This is required for extracting rich and meaningful higher-level interpretations from images and videos. Current models often lack in-depth insights into these complex urban systems. Additionally, there is a need for a model that can interpret and explain images and videos effectively, leveraging a combination of machine learning and knowledge graph approaches. Therefore, in this paper, we developed the Digital Twin for the buildings and road network of the TEC (Tecnologico De Monterrey) district region and additionally developed the Knowledge Graph models for emulating security events with dense video captioning. This is done by designing an AI-based TEC District Digital Twin for emulating security events by leveraging knowledge graph. The proposed approach provides data and insights about the district's operations and security. This initiative will help district planners and managers to make better decisions by analyzing the real-time data. This is supposed to contribute to increased effectiveness of district services, transparency, and an efficient infrastructure. © 2024 The Authors",20,10.1016/j.joitmc.2024.100297,"This paper focuses on developing an AI-based Digital Twin model for the TEC District to automate the captioning of security events from video data, utilizing machine learning and knowledge graph approaches. The emphasis is on creating a new AI technique to enhance urban management and security rather than analyzing the impact of AI itself, placing it in category B. Class: B",B,1899,68,stop,fp_0705bf87c0
"The smart economy integrates smart technologies across all aspects of life, driving digital economic growth, enhancing security, and fostering competitiveness (Kumar & Dahiya, 2017). In Thailand, the concept of smart cities has been embraced, holding the potential for improved urban living (Thinphanga & Friend, 2023). This research provides a framework to guide Thailand’s smart city development, aiming to enhance economic growth and residents’ quality of life. Employing qualitative methods, this study engaged eight key informants through purposive sampling to understand the dynamics of Thailand’s smart cities and economy. Utilizing content analysis and NVivo software, the research identified essential elements for the success of smart cities in Thailand. Critical is the development of digital infrastructure like high-speed Internet and cloud services for nationwide access. Additionally, adopting technologies such as Big Data Analytics, artificial intelligence (AI), and Internet of Things (IoT) is vital for improving services and enhancing life quality. Effective public-private partnerships (PPPs) and addressing digital gaps, skill shortages, cybersecurity threats, and regulatory challenges are also crucial. The study underscores the importance of digital education and skills for future readiness. Ultimately, Thailand’s shift towards smart cities could significantly improve economic and social outcomes, provided these strategic areas are addressed. © 2024 The Authors.",20,10.22495/jgrv13i2siart18,"This research provides a framework for developing smart cities in Thailand, focusing on the integration of technologies like AI and their potential to enhance economic growth and quality of life. The qualitative methodology and emphasis on the implications of smart technologies for economic and social outcomes classify this paper in category A. Class: A",A,1874,58,stop,fp_0705bf87c0
"The public sector in Europe can make use of artificial intelligence (AI) to boost its digital transformation. To improve public services in alignment with the European democratic values, principles and rights, public procurement can leverage the innovation of AI for the public good. Both AI and the Internet of Things (IoT), fueled with quality data, offer new possibilities to spark the innovative power of a city, a Smart City. The potential of AI is at the tip of our mobile phones and the connection to networks where data is shared. This can be useful to citizens and administrations, but not without challenges and risks. Therefore, this article explores what a Smart City is, and the benefits and risks of AI based solutions in the context of Innovation Procurement. It offers examples and refers to legal and ethical frame-works for the reuse of data. © 2021, Lexxion Verlagsgesellschaft mbH. All rights reserved.",20,10.21552/epppl/2021/3/7,"This article explores the role of AI in enhancing public services and digital transformation in Smart Cities, discussing both the benefits and risks associated with AI solutions. It focuses on the implications of AI for public procurement and innovation, indicating a broader analysis of AI's impact on public sector outcomes. Thus, it falls into category A. Class: A",A,1795,66,stop,fp_0705bf87c0
"This research provides a novel framework to estimate the economic, environmental, and social values of electrifying public transit buses, for cities across the world, based on open-source data. Electric buses are a compelling candidate to replace diesel buses for their environmental and social benefits. However, the state-of-art models to evaluate the value of bus electrification require granular and bespoke data on bus operation that can be difficult to procure. This strict requirement on data and modeling can hinder potential collaborators on bus electrification, such as electric vehicle manufacturers or electricity providers, from selecting the candidate public transit agencies in the initial phase of the market investigation. Our valuation tool uses General Transit Feed Specification, a standard data format used by transit agencies worldwide, to provide high-level guidance on developing a prioritization strategy for electrifying a bus fleet. We develop physics-informed machine learning models to evaluate energy consumption, carbon emissions, health impacts, and the total cost of ownership for each transit route. We demonstrate our tool with a case study of the bus lines in the Greater Boston and Milan metropolitan areas. While the capital cost of electric buses and the price of diesel fuel may impact the economic benefit of electrification, we expect significant improvements in health and environmental performances. We estimate about 50% health cost reduction by electrifying only 4 routes out of 15 to 19 routes in each city. For Boston and Milan, some routes are estimated to produce less than 5% of the diesel bus emissions and 14%, respectively, for which investment in electrification can be prioritized.  © 2023 Upadhi Vijay et al.",20,10.1155/2023/5021883,"This research develops a framework using machine learning to estimate the economic, environmental, and social values of electrifying public transit buses, focusing on energy consumption, carbon emissions, and health impacts. The emphasis on creating a machine learning model for evaluating bus electrification aligns it with category B. Class: B",B,1931,59,stop,fp_0705bf87c0
"Saudi Arabia has an ambitious vision that embraces artificial intelligence (AI) technologies at a mass scale in new cities such as Neom. Self-driving has recently become one of the most important AI applications due to the advancement of sensors and AI algorithms. Given that safety is vital to the success of self-driving cars, existing infrastructures (e.g., roads and traffic signs) should be compatible with self-driving technologies. However, self-driving technologies have not been thoroughly examined in Saudi Arabia with regard to the country's infrastructure and traffic. Therefore, this paper highlights the main areas of improvement in available self-driving technologies in Saudi Arabia. This analysis can help governments understand the current limitations of such technologies so that they can regulate them and enhance infrastructures to prepare for the mass adoption of self-driving cars. It can also help car manufacturers and developers improve self-driving algorithms to overcome their existing limitations, which will ultimately improve the safety and experience of driving.  © 2022 Faisal S. Alsubaei.",20,10.1155/2022/2085225,"This paper analyzes the current state of self-driving technologies in Saudi Arabia, focusing on their compatibility with existing infrastructure and identifying areas for improvement. It aims to inform government regulation and enhance infrastructure to support the adoption of self-driving cars, thus studying the implications of AI rather than proposing a new AI technique. Class: A",A,1809,62,stop,fp_0705bf87c0
"With the development of wireless communication and artificial intelligence technology, online parking reservation system can effectively save drivers' searching time for vacant spaces. However, in the environment with multiple candidate parking lots around the destination, how to coordinate and maximize parking space resources to reduce the travel time is still a practical issue for urban drivers. In order to solve this problem, a collaborative reservation mechanism based on dynamic vehicle path planning is proposed in this paper. By the aid of the dedicated backbone network with a clear division of work responsibilities, the information of traffic and parking lots is collected in real time, based on which the travel time prediction and empty spaces evaluation are executed separately, and then the optimal decision of path planning and parking lot selection can be made and adjusted dynamically by a step-by-step acknowledgement mechanism. The simulation results show that, based on collaborative working and overall planning, our proposed reservation mechanism can effectively raise the utilization rate of the parking lots resources and significantly reduce the travel time for drivers under different traffic environments. Compared to current mechanisms, the collaborative parking reservation mechanism reveals higher feasibility and applicability. It can assist in design and operation of urban traffic management and space resource utilization.  © 2021 Yuting Xiao et al.",20,10.1155/2021/8876069,"This paper proposes a collaborative reservation mechanism for online parking systems that utilizes AI and dynamic vehicle path planning to optimize parking space utilization and reduce travel time for drivers. The focus is on developing a solution to a practical problem using AI techniques, placing it in category B. Class: B",B,1853,55,stop,fp_0705bf87c0
"Local governments have made extensive efforts to mitigate urban overheating, cool streetscapes and cities, and protect vulnerable people. However, there is uncertainty about which urban heat mitigation strategies (UHMSs) can provide better solutions for a specific urban context. There is a compelling need for local governments to automate the decision-making process and optimise the combination of UHMSs to maximise the mitigation outcomes for their cities. We develop a novel decision-making framework that incorporates artificial intelligence (AI) techniques into urban heat mitigation in the built environment to enable an automated process of decision making. The novel decision-making framework comprises: the ontology-based knowledge representation of UHMSs and their relationships with urban contexts and performance assessment to share knowledge in urban heat mitigation domain; sensitivity analysis of the environmental, social and economic performance of UHMSs to get key variables for UHMSs; and genetic algorithm-based multi-objective optimisation of UHMSs. The novel decision-making framework enables generating the context-based optimised UHMS combinations to support local governments’ decision-making. The research outcomes will advance interdisciplinary knowledge about using AI techniques in the decision-making process for urban heat mitigation. © 2022",20,10.1016/j.resconrec.2022.106420,"This paper proposes a decision-making framework that integrates AI techniques to optimize urban heat mitigation strategies for local governments. The focus is on developing an AI-based method for decision-making rather than analyzing the impact of AI itself, placing it in category B. Class: B",B,1843,51,stop,fp_0705bf87c0
"The urbanization problems we face may be alleviated using innovative digital technology. However, employing these technologies entails the risk of creating new urban problems and/or intensifying the old ones instead of alleviating them. Hence, in a world with immense technological opportunities and at the same time enormous urbanization challenges, it is critical to adopt the principles of responsible urban innovation. These principles assure the delivery of the desired urban outcomes and futures. We contribute to the existing responsible urban innovation discourse by focusing on local government artificial intelligence (AI) systems, providing a literature and practice overview, and a conceptual framework. In this perspective paper, we advocate for the need for balancing the costs, benefits, risks and impacts of developing, adopting, deploying and managing local government AI systems in order to achieve responsible urban innovation. The statements made in this perspective paper are based on a thorough review of the literature, research, developments, trends and applications carefully selected and analyzed by an expert team of investigators. This study provides new insights, develops a conceptual framework and identifies prospective research questions by placing local government AI systems under the microscope through the lens of responsible urban innovation. The presented overview and framework, along with the identified issues and research agenda, offer scholars prospective lines of research and development; where the outcomes of these future studies will help urban policymakers, managers and planners to better understand the crucial role played by local government AI systems in ensuring the achievement of responsible outcomes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",20,10.3390/joitmc7010071,"This perspective paper reviews the literature on local government AI systems and proposes a conceptual framework for responsible urban innovation. It emphasizes the need to balance the costs, benefits, risks, and impacts of AI in urban settings, thus analyzing the implications of AI adoption in local governance. This focus on the impact and governance of AI qualifies it for category A. Class: A",A,1915,71,stop,fp_0705bf87c0
"Within the framework of the overarching green development objective guiding the transformation and progress of urban green and low-carbon initiatives, the technological advancements stemming from artificial intelligence have introduced fresh paradigms for reducing urban pollution and enhancing environmental governance. A comprehensive exploration into the influence of artificial intelligence on urban pollution emissions has emerged as a pivotal current concern. The findings that the progression of artificial intelligence has effectively curbed urban pollution emissions, assuming the role of a significant ""speed bump"". Robustness testing corroborated this conclusion. Mechanism testing unveiled that the evolution of artificial intelligence mitigates urban pollution emissions by enhancing production efficiency, minimizing energy consumption, boosting green technology innovation, optimizing industrial structure, and increasing public participation. Heterogeneity analysis underscored substantial variances in the impact of artificial intelligence on urban pollution emissions, influenced by pollutant types, regional disparities, and urban scale differentials. Further scrutiny exposed that while the application of artificial intelligence technology does not entirely mitigate the “local-neighborhood” effect, it does ameliorate the ""boundary effect"", subsequently reducing pollution emission intensity in cities straddling provincial administrative boundaries. © 2024 Elsevier Ltd",20,10.1016/j.jclepro.2024.142739,"This paper investigates the impact of artificial intelligence on urban pollution emissions, demonstrating its role in reducing emissions through various mechanisms such as enhancing production efficiency and optimizing industrial structures. The focus on the effects of AI on environmental outcomes classifies this study in category A. Class: A",A,1839,53,stop,fp_0705bf87c0
"Using artificial intelligence and autonomous driving technologies, robotaxis are expected to provide more intelligent, efficient, sustainable, and convenient services as technology advances and market penetration increases. This requires attention to technology investment and market competition at the different stages of robotaxi development. This study aims to reveal the changing rules of R&D investment and market competition for robotaxi services at various stages, considering subsidies, passenger preferences (i.e. walking aversion, safety, additional convenience), and the volatility of benefits from congestion reduction. We developed models to capture the competition between robotaxis and traditional taxis in the three phases of market development — namely, introduction, development, and dominance. The results of this study show that the optimal level of R&D investment is affected by factors such as R&D subsidies, passenger preferences, and the volatility of congestion reduction benefits and that it decreases during the development phase and may further decline during the dominance phase. Additionally, government R&D subsidies should be maintained at a reasonable level to avoid potential strategic conflicts with companies in technology investment and adoption of robotaxi services during the introduction phase. The transition from R&D subsidies to usage subsidies will depend on reaching the perceived safety threshold for robotaxi services. Reducing congestion can play a role similar to the deployment of usage subsidies to promote robotaxi services during the development phase, and can promote R&D investment, robotaxi services, and firm profits in the dominance phase. However, these benefits may be reduced by the volatility of congestion reduction. Policy recommendations and strategies are provided to promote future technological progress and market competition. © 2024 Elsevier Ltd",20,10.1016/j.tre.2024.103615,"This study analyzes the dynamics of R&D investment and market competition for robotaxi services, considering factors like subsidies and passenger preferences across different market development stages. It develops models to understand these interactions, focusing on the implications for technology investment and market strategies rather than the impact of AI itself. Thus, it falls into category B. Class: B",B,1929,67,stop,fp_0705bf87c0
