Abstract,Topic,DOI,GPT_response,GPT_class,Input_tokens,Output_tokens,reason_stop,system_fingerprint
"This paper aims to estimate the returns to solar panels in the UK residential housing market. Our analysis applies a causal machine learning approach to Zoopla property data containing about 5 million observations. Drawing on meta-learner algorithms, we provide strong evidence documenting that solar panels are directly capitalized into sale prices. Our results point to a selling price premium above 6% (range between 6.1% to 7.1% depending on the meta-learner) associated with solar panels. Considering that the average selling price is £230,536 in our sample, this corresponds to an additional £14,062 to £16,368 selling price premium for houses with solar panels. Our results are robust to traditional hedonic pricing models and matching techniques, with the lowest estimates at 3.5% using the latter. Despite the declining trend, the additional analyses demonstrate that the positive premium associated with solar panels persists over the years. © 2024 The Author(s)",2,10.1016/j.eneco.2024.107768,"This paper estimates the economic returns of solar panels in the UK residential housing market using a causal machine learning approach on a large dataset. It focuses on the impact of solar panels on property sale prices, providing evidence of a significant price premium associated with their installation. Class: A",A,1774,54,stop,fp_0705bf87c0
"The environmental effect of operating activities in the manufacturing industry is crucial to the sustainable development of the economy and society. Since we have entered the era of information explosion, the artificial intelligence has been involved to address the environmental problems caused by daily operations. This study examines the complex relation between artificial intelligence application and corporate environmental investment. The results show that: (1) AI application have a direct and positive impact on corporate environmental investment; (2) Managerial myopia plays a negative moderating role, inhibiting the positive effect of AI application on corporate environmental investment; (3) Companies' pollution emission mediates the relationship between AI application and corporate environmental investment. When reduced by AI application, a lower pollution emission will trigger a larger scale of corporate environmental investment; (4) Compared with under-valued companies and those in the Western region, AI application has a greater positive impact on the environmental investment of the over-valued companies and those in the East-Central region. By verifying the relationship between artificial intelligence applications and manufacturing enterprise investment, this study has a positive impact on promoting green innovation in the manufacturing industry and is of great significance for sustainable development strategies. © 2024 Elsevier Inc.",2,10.1016/j.irfa.2024.103403,"This study investigates the relationship between AI application and corporate environmental investment in the manufacturing industry, revealing that AI positively influences such investments while also considering factors like managerial myopia and pollution emissions. The focus is on the impact of AI on environmental outcomes, making it relevant to the analysis of AI's effects. Class: A",A,1814,62,stop,fp_0705bf87c0
"Research over the past three decades has provided rich empirical evidence for the inverted U-shaped EKC theory, but current problems facing advancing climate mitigation actions require us to re-examine the shape of global EKC rigorously. This paper examined the N-shaped EKC in a panel of 214 countries with 12 traditional and emerging variables, including institutions and risks, information and communication technology (ICT), artificial intelligence(AI), resource and energy use, and selected social factors. The two-dimensional Tapio decoupling model based on N-shaped EKC to group homogeneous countries is developed to explore the inter-group heterogeneous carbon emission effects of each variable. Global research results show that the linear and cubic terms of GDP per capita are significantly positive, while the quadratic term is significantly negative, regardless of whether additional variables are added. This means the robust existence of an N-shaped EKC. Geopolitical risk, ICT, and food security are confirmed to positively impact per capita carbon emissions, while the impact of composite risk, institutional quality, digital economy, energy transition, and population aging are significantly negative. The impact of AI, natural resource rents, trade openness, and income inequality are insignificant. The inflection points of the N-shaped EKC considering all additional variables are 45.08 and 73.44 thousand US dollars, respectively. Combining the turning points and the calculated decoupling coefficients, all countries are categorized into six groups based on the two-dimensional decoupling model. The subsequent group regression results show heterogeneity in the direction and magnitude of the carbon emission impacts of most variables. Finally, differentiated carbon emission reduction strategies for countries in six two-dimensional decoupling stages are proposed. © The Author(s) 2024.",2,10.1057/s41599-024-02736-9,"This paper re-examines the Environmental Kuznets Curve (EKC) theory by investigating the N-shaped EKC using a panel of 214 countries and various factors, including AI. It employs a two-dimensional decoupling model to analyze the heterogeneous effects of these variables on carbon emissions, providing insights into climate mitigation strategies. The focus is on the impact of AI within the broader context of environmental economics. Class: A",A,1921,83,stop,fp_0705bf87c0
"In recent years, the rapid development of artificial intelligence (AI) has sparked academic interest in its economic and environmental impacts. Against the backdrop of global warming, this study evaluates the impact of AI on energy transition and constructs an evaluation index system to measure the level of the digital economy, analyzing its role in AI and energy transition. The study first finds that AI positively affects energy transition, whereby as AI advances, the level of energy transition improves. Second, the digital economy plays a positive role in reinforcing the impact of AI on the energy transition. Finally, high-income and middle- and low-income countries exhibit different performances in the energy transition promoted by AI, with a more pronounced impact in resource-dependent countries. These findings offer specific insights for policymakers aiming to advance the energy transition, address regional energy disparities, and achieve low-carbon development. © 2024 Elsevier B.V.",2,10.1016/j.eneco.2024.107654,"This paper evaluates the impact of AI on energy transition and constructs an index to measure the digital economy's role in this process. It finds that AI positively influences energy transition, particularly in resource-dependent countries, and provides insights for policymakers. Class: A",A,1751,49,stop,fp_0705bf87c0
"The present study focuses on investigating the effect of renewable and non-renewable energy consumption (REC and NREC), financial development (FD), and inflation (INF) on economic welfare (EW) in India during 1990–2019. In this research, we employ a novel dynamic autoregressive distributed lag model and a kernel-based machine learning algorithm and regularise least squares to detect causal linkages among the variables. To measure the economic welfare index, this research uses the PCA analysis with GDP, human capital, environmental damage, number of employed persons, life expectancy at birth, and real consumption in households and by the government. According to the findings, the NREC and FD have been favourably contributing to EW. Conversely, the EW is adversely affected by REC. However, INF also has an adverse impact on EW, although it may be insignificant in the long run and significant in the short run. © The Author(s) 2024.",2,10.1007/s10644-024-09723-9,"This study investigates the effects of renewable and non-renewable energy consumption, financial development, and inflation on economic welfare in India using a dynamic autoregressive distributed lag model and machine learning techniques. The focus is on understanding the economic outcomes related to energy consumption and financial development, rather than the impact of AI itself. Class: B.",B,1767,66,stop,fp_0705bf87c0
"The widespread integration of artificial intelligence (AI) technology in the realms of energy and the environment has emerged as a catalyst for transformative shifts toward low-carbon energy structures. However, existing literature and practical applications have yet to delve into the intricate ways in which intelligent technology influences energy structures. Consequently, this study addresses this gap by constructing a comprehensive theoretical model that encompasses robots and differentiated energy inputs. By drawing on the Chinese case, this research investigates the impact of AI on low-carbon energy structure transformation, both theoretically and empirically. The study's results reveal that AI technology significantly advances the cause of low-carbon energy transformation. Notably, this effect is manifested in the post-Industry 4.0 era and regions endowed with abundant renewable energy resources and strong governmental support for innovation. Rigorous robustness tests substantiate the existence of this relationship. Furthermore, adopting smart technology fosters energy structure transformation through industrial restructuring, and introduces the energy rebound effect, thereby partially offsetting its positive impact. Importantly, the study underscores that the efficacy of AI is further heightened when the influx of innovation factors surpasses a certain threshold. These findings furnish crucial evidence and policy insights for China and other developing nations, offering guidance on accelerating energy transitions and attaining carbon neutrality. © 2024 Elsevier B.V.",2,10.1016/j.eneco.2024.107719,"This paper investigates the impact of AI technology on the transformation of low-carbon energy structures in China, employing both theoretical modeling and empirical analysis. It highlights the significant role of AI in advancing low-carbon energy transitions and provides policy insights, focusing on the economic implications of AI adoption. Class: A",A,1831,57,stop,fp_0705bf87c0
"Energy poverty is a global challenge that constrains economic development, jeopardizes people's health, and impedes the improvement of people's lives. Artificial intelligence (AI) could be an important tool to reverse this dilemma. We utilize a panel data covering 64 countries during 2000–2019 to examine AI's impact on energy poverty. The findings reveal that the application of AI effectively alleviates energy poverty. After a series of robustness checks, this conclusion remains valid. Moreover, heterogeneity tests show that AI significantly alleviates energy poverty in high-income countries and lower-middle-income countries, but this positive influence is not found in upper-middle-income countries. Mechanism tests indicate that the application of AI can generate economic effects, driving technological progress and enhancing human capital, thereby easing energy poverty. Further discussion reveals AI's impact on energy poverty is long-lasting. In addition, its effects are more prominent in countries that do not participate in cooperative organizations. Our findings offer a fresh perspective and approach to improving the global state of energy poverty. Based on these conclusions, we provide relevant policy implications. © 2024",2,10.1016/j.eneco.2024.107748,"This paper analyzes the impact of AI on alleviating energy poverty using panel data from 64 countries, revealing that AI contributes positively to reducing energy poverty, particularly in high-income and lower-middle-income countries. The study employs various robustness and mechanism tests to support its findings, focusing on the economic effects of AI. Class: A",A,1797,64,stop,fp_0705bf87c0
"This paper offers insights regarding the potential of AI software development to narrow the financing gap in renewables. By employing a panel of 49 economies covering 2011–2020, we estimate a two-way fixed effects model and reveal that AI software development significantly promotes equity investments in renewables while imposing no substantial effect on debt investments in the same field. Such results are robust to extra controls, outlier consideration, and the endogeneity concern. Moreover, it is found that AI software development's enhancing effect on equity investments in renewables manifests when the stringency of environmental policies, especially the intensity of public funding support for environmental-related R&D, is sufficiently high. Furthermore, AI software development has a more profound positive impact on equity investments in renewables in economies with more equal business opportunities and lower age dependency. © 2024",2,10.1016/j.eneco.2024.107700,"This paper analyzes the impact of AI software development on equity investments in renewable energy across 49 economies, using a two-way fixed effects model. It focuses on how AI influences financing in renewables, particularly under stringent environmental policies, thus studying the economic implications of AI. Class: A",A,1742,56,stop,fp_0705bf87c0
"Artificial intelligence (AI) is emerging as a new driving force for green transformation of manufacturing enterprises. Drawing from panel data of manufacturing enterprises listed on China’s A-share market spanning from 2013 to 2019, this study finds that AI can promote green transformation of manufacturing enterprises. This finding maintains its robustness after re-measuring the core independent variable and the dependent variable, addressing endogeneity issues, excluding specific research sample, adding urban-level control variables, adding more fixed effects. The promotion effect emanates from the intermediary roles of enhanced managerial efficiency, reduced financial pressures, and the reinforcement of capabilities for green innovation. Furthermore, this study conducts heterogeneity analysis across three dimensions: corporate ownership, industry affiliation, and geographical location. The analysis discerns a heightened promotion effect when the manufacturing enterprises operate as non-state-owned enterprises, operate within labor-intensive and technology-intensive industries, or are geographically located in the eastern region. The findings offer insights to expedite the application of AI within manufacturing and propel the synergistic convergence of intelligence and sustainability in the sector. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.",2,10.1007/s10644-024-09730-w,"This paper analyzes the impact of AI on the green transformation of manufacturing enterprises in China, utilizing panel data to demonstrate how AI enhances managerial efficiency and green innovation. The study focuses on the economic outcomes of AI adoption in manufacturing, making it relevant to the impact of AI. Class: A",A,1809,56,stop,fp_0705bf87c0
"Artificial intelligence is playing a significant role in addressing the energy crisis. This study selected data from manufacturing companies listed on China's A-share market from 2011 to 2022 and calculated the total energy consumption for the first time. The data include the usage of coal, natural gas, gasoline, diesel and water consumption, electricity usage, and centralized heating. The data were then matched and merged with robot usage data from the International Federation of Robotics to empirically study the impact and mechanism of artificial intelligence on energy consumption levels. Our findings reveal that energy consumption decreases by 0.20 % with a one-unit increase in artificial intelligence applications by a corporation, indicating artificial intelligence can significantly reduce energy consumption. The mechanisms by which artificial intelligence affects energy consumption include technological innovation and digital transformation. Additionally, a heterogeneity analysis revealed that applying artificial intelligence in state-owned enterprises, high-tech companies, and non-heavy-pollution industries can further reduce energy consumption. Our study also provides important practical implications for formulating and optimizing global energy policies to achieve sustainable development goals. © 2024 Economic Society of Australia, Queensland",2,10.1016/j.eap.2024.07.005,"This paper empirically investigates the impact of artificial intelligence on energy consumption in manufacturing companies in China, revealing that AI applications can significantly reduce energy usage. It employs a quantitative analysis to explore the mechanisms through which AI influences energy consumption levels, focusing on technological innovation and digital transformation. Class: A",A,1795,57,stop,fp_0705bf87c0
